Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,,"Very clean, calm, comfortable hotel, perfect location",10,November 2023,"November 1, 2023",Queen Room,3,Family,8.9
It was good.,One of the towels is dirty.,It's within old town.,9.0,October 2023,"October 29, 2023",Queen Room,2,Solo traveler,8.9
Exceptional,,"It was amazing. The hotel is located in the centre of the Old Town with its restaurants cafes, etc. The windows overlook a wonderful view of the original romanian architecture.We'like to say a separate thanks to the receptionists. Our check-in was at 3 P.M., but we came at 10.00 because our bus arrived at 7.30. After a sleepless night in bus we wanted to pay extra to be accomodated at the hotel at this time. But we were settled without any pay.",10,October 2023,"October 28, 2023",Twin Room,1,Family,8.9
"Very good hotel, recommended",,"Excellent location, good breakfast, big room",10,October 2023,"October 24, 2023",King Room,5,Family,8.9
Great service,,"The area, where the hotel is, is fabulous. Very clean hotel. Very modern and comfortable rooms. Perfect breakfast with a lot of roumanian products and recipies.",10,October 2023,"October 23, 2023",Queen Room,2,Group,8.9
Great hotel and city.,N/A,Location and hotel is wow,10,October 2023,"October 15, 2023",King Room,3,Group,8.9
Exceptional,,"Location was fantastic, the staff was friendly and was a great value",10,October 2023,"October 12, 2023",King Room,2,Family,8.9
Very Good,"The hotel required full payment by card at check-in. I understand it like this: ""We're glad you're here, but we don't trust you"". Such a hotel does not have the right to a full number of points from me.","A pleasant hotel right in the old town. Clean and quiet room, excellent breakfast.",8.0,October 2023,"October 10, 2023",Queen Room,3,Solo traveler,8.9
In the heart of Bucharest,,"Location, building and staff",9.0,October 2023,"October 9, 2023",Deluxe King Room,1,Group,8.9
Exceptional,,"Location is perfect, the breakfast was good",10,July 2023,"October 8, 2023",Twin Room,1,Family,8.9
Very Good,,"Clean and tidy rooms, Central location
A rich breakfast",8.0,October 2023,"October 6, 2023",King Room,9,Couple,8.9
