Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
A SOMEWHAT 'OUT OF THE WAY' LOCATION; MODEST NUMBER OF RESTAURANTS IN AREA.  WELL MANAGED.,"NO BREAKFAST MEATS LIKE SAUSAGE, ETC.  HAM & CHEESE PLENTIFUL.",COMPLETE EUROPEAN BUFFET BREAKFAST.  EVERYTHING KEPT UP BY EXCELLENT STAFF.,8.0,April 2023,"April 3, 2023",Standard Double Room,4,Couple,8
Great value for a good clean well located hotel.,Would be nice to have hot drink facilities in the room. Shower could be a bit more powerful and fab wasn’t working in the bathroom so was a bit mouldy in the shower.,Great location right near the metro. Rooms clean and what you need. Great view from the 11th floor. Staff friendly and helpful. Bed comfortable. Air conditioning great. Great value for a good clean comfortable hotel.,8.0,March 2023,"March 29, 2023",Standard Double Room,3,Couple,8
"Excellent, would stay again","Room is very compact, ok for a weekend but longer stays might like more room or storage",All the staff at reception were really lovely and helpful.  There is a 24 hr reception and bar.  Made to feel welcome.  Check out and storage of our bags was excellent.,8.0,March 2023,"March 24, 2023",Standard Double Room,3,Couple,8
Overall nice and clean.,nothing,very clean,9.0,March 2023,"March 22, 2023",Standard Double Room,2,Solo traveler,8
great place,,all,8.0,February 2023,"March 6, 2023",Standard Double Room,2,Couple,8
Nice location and good price,the quality of the room,the location and price,7.0,March 2023,"March 6, 2023",Standard Double Room,3,Couple,8
Staff was very attentive. good breakfast. comfortable room,,breakfast,9.0,February 2023,"February 25, 2023",Standard Double Room,1,Couple,8
Good,"AC didn't AC but yeah everything was cool, nice stay","Easy and convenient, good location for the bus, bar was nice, generally cool",7.0,February 2023,"February 21, 2023",Standard Double Room,1,Family,8
Good value for money in a friendly hotel.,It's directly beneath the airport flight path. The ventilation was not so good which required opening the window and letting in the roar of the planes. Fortunately they didn't fit all night.,"Friendly helpful staff.
Clean room.",7.0,February 2023,"February 21, 2023",Standard Double Room,2,Couple,8
value hotel for short stay good value,price and location,good location friendly staff spoke English,7.0,February 2023,"February 18, 2023",Standard Double Room,1,Couple,8
Wonderful,The sheets were very rough.,,9.0,February 2023,"February 6, 2023",Standard Double Room,1,Solo traveler,8
Wonderful,Terrible wiifii. Had to sit in the cafe to get good enough internet.,"Great location close to metro line; only 10 minutes to downtown. Excellent breakfast opening nice and early by 6;30. 24, 7 cafe and lounge on main level. Close to restaurants; vegetarian and sushi buffets next door, both excellent.",9.0,January 2023,"February 1, 2023",Standard Double Room,7,Couple,8
As expected from Ibis Hotel,"Electric kettle for hot drink in winter?
A signage to where the lift is located in the parking lot?","Near metro blue line Praca de Espana (no lift/elevator available in this station, only stairs), then 5 minutes on foot to hotel. 
Entry via the parking gate (back entrance?) and take lift to hotel lobby. We were lucky that a woman showed us where the lift is located in the parking lot.
Room amenities: standard of Ibis hotel 
Nearby: a small park, restaurants (most closed on Sunday I think), Auchan minimarket",9.0,January 2023,"February 1, 2023",Standard Twin Room,4,Family,8
