Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Very Good,"intermittent internet, none in main restaurant, elements have a worn look, including dirty stains, marks on carpets.","large rooms, comfy bed, good shower",8.0,August 2022,"September 4, 2022",Junior Suite,17,Solo traveler,7.7
Very comfortable and convenient location,,Very homely hotel with efficient and friendly staff. Great service!,9.0,August 2022,"August 23, 2022",Standard King Room,4,Solo traveler,7.7
Very Good,,It's ok,8.0,August 2022,"August 19, 2022",Standard King Room,2,Solo traveler,7.7
Good,"Dust every where, I was coughing all the night، the view from the window was bad, the furniture and the design were old","The jacuzzi was good, the staff were nice and fast",7.0,August 2022,"August 14, 2022",King Jacuzzi Suite,1,Family,7.7
Very Good,"some bits tired, stains on carpets in corridors, tiles cracked in bathrooms. breakfast average","large rooms, comfy bed, nice bedding and bathroom towels, good range of complimentary cosmetics, good internet,",8.0,July 2022,"July 28, 2022",Junior Jacuzzi suite,4,Solo traveler,7.7
"good hotel , however. with some development would be excellent",wifi signal very weak,"location , staff & Gym",9.0,June 2022,"June 21, 2022",Standard King Room,3,Solo traveler,7.7
Very Good,the security,,8.0,May 2022,"June 11, 2022",Standard King Room,1,Couple,7.7
Wonderful,Smoking odour,Location,9.0,May 2022,"May 5, 2022",Standard Twin Room,3,Group,7.7
Very polite and helpful staff.,Staff are amazing.,Breakfast is poor. location is perfect. Room with very old Furniture.,8.0,February 2022,"April 19, 2022",Standard King Room,2,Solo traveler,7.7
Very Good,Price in hotel was cheaper than booking.com,Location of the hotel,8.0,January 2022,"April 14, 2022",Standard King Room,1,Couple,7.7
Very Good,,"Very convenient location with many options within walking distance. Even though it is busy in the morning, it is not a problem during resting hours",8.0,March 2022,"April 3, 2022",Standard King Room,1,Solo traveler,7.7
Very Good,Nothing really,Location and bed,8.0,March 2022,"March 29, 2022",Standard King Room,1,Couple,7.7
Very Good,"old furniture 
Wi-Fi was not working strongly","location 
rating",8.0,March 2022,"March 28, 2022",Standard King Room,2,Couple,7.7
